Model,k,alpha,a1,gamma,SSE,LL,AIC,BIC,RMSE,Participant,n
Compression + Pooling,1,0.804428740084877,NA,NA,3.8062438867736494,409.0836258998236,-814.1672517996471,-806.0304006231589,0.09386559400494926,p315,432
Compression + Partial Pooling,2,0.8889364789685839,NA,0.06991893186017595,2.5784934295003876,493.20213887143746,-980.4042777428749,-968.1990009781425,0.07725758726824283,p315,432
Linear Compression + Partial Pooling,3,0.9754796350329745,-0.18737788460503976,0.08247277966285879,2.547509591026629,495.81337050341403,-983.6267410068281,-967.3530386538516,0.07679201092686186,p315,432
Null,0,NA,NA,NA,4.642499999999998,446.21245106039794,-890.4249021207959,-886.2304967296913,0.0973369908920466,p316,490
Perfect Pooling,0,NA,NA,NA,6.052777777777778,381.22270019421137,-760.4454003884227,-756.2509949973181,0.11114228587603625,p316,490
Partial Pooling,1,NA,NA,0.4099983957066109,3.9252791346981732,487.3272604229304,-970.6545208458608,-962.2657100636515,0.08950292589788328,p316,490
Compression + Pooling,1,0.9269076996841923,NA,NA,5.4538726662109385,406.7495849147525,-809.499169829505,-801.1103590472957,0.10550048521226016,p316,490
Compression + Partial Pooling,2,1.0705453504438656,NA,0.20873304447211577,3.6852599778013637,502.7858765580319,-999.5717531160637,-986.9885369427498,0.0867233459352605,p316,490
Linear Compression + Partial Pooling,3,0.9314167624332883,0.3091818130018667,0.18420225420404587,3.5873485782146086,509.3831634025704,-1010.7663268051408,-993.9887052407221,0.08556354099367763,p316,490
Null,0,NA,NA,NA,4.532500000000002,469.2317967985142,-936.4635935970284,-932.2449934773367,0.09502044233822214,p317,502
Perfect Pooling,0,NA,NA,NA,8.78229166666667,303.2044031252192,-604.4088062504384,-600.1902061307467,0.13226717247177633,p317,502
Partial Pooling,1,NA,NA,-0.5370395275726667,4.115387032509884,493.4635325453238,-982.9270650906476,-974.4898648512642,0.09054270890841444,p317,502
Compression + Pooling,1,0.7568173947407,NA,NA,2.983450455130371,574.1982804845851,-1144.3965609691702,-1135.9593607297868,0.07709168824636055,p317,502
Compression + Partial Pooling,2,0.824280918285945,NA,0.16110209579790022,2.270782054274536,642.7102897188132,-1279.4205794376264,-1266.7647790785513,0.0672567485657649,p317,502
Linear Compression + Partial Pooling,3,1.1852112719596128,-0.7992634558359151,0.2755951667111109,1.603858128984917,729.9860599994153,-1451.9721199988305,-1435.0977195200635,0.05652376944190953,p317,502
Null,0,NA,NA,NA,4.897500000000001,416.57910206368695,-831.1582041273739,-826.9885933948824,0.10122161774829323,p318,478
Perfect Pooling,0,NA,NA,NA,8.688958333333336,279.5536642536214,-557.1073285072428,-552.9377177747513,0.1348248385833401,p318,478
Partial Pooling,1,NA,NA,-0.14893459029799602,4.851334402016322,418.8426876247976,-833.6853752495952,-825.3461537846123,0.10074341244300672,p318,478
Compression + Pooling,1,0.7961430538185869,NA,NA,4.5698588549493975,433.12807188146564,-862.2561437629313,-853.9169222979484,0.09777716591072941,p318,478
Compression + Partial Pooling,2,0.868425984786364,NA,0.3149697430991752,3.889871332242734,471.6324629447962,-937.2649258895924,-924.756093692118,0.09020978957075017,p318,478
Linear Compression + Partial Pooling,3,0.880278050666188,-0.02580612224091922,0.31620904786879356,3.889189933309907,471.6743328670924,-935.3486657341848,-918.670222804219,0.09020188808234034,p318,478
Null,0,NA,NA,NA,5.155000000000002,355.26975249087116,-708.5395049817423,-704.4504601062955,0.1081172622832641,p319,441
Perfect Pooling,0,NA,NA,NA,7.192586805555558,281.8247816908071,-561.6495633816141,-557.5605185061673,0.12770951666778116,p319,441
Partial Pooling,1,NA,NA,-0.23116212862120075,5.101482804139343,357.5708627271363,-711.1417254542725,-702.9636357033788,0.10755458250582839,p319,441
Compression + Pooling,1,0.7932301971628467,NA,NA,3.6658083301044964,430.4422271742004,-856.8844543484008,-848.7063645975071,0.0911728607890234,p319,441
Compression + Partial Pooling,2,0.8299532200346482,NA,0.3940748382602139,3.3524275386676132,450.14702073111187,-894.2940414622237,-882.0269068358832,0.0871887407003635,p319,441
Linear Compression + Partial Pooling,3,1.4619069942304677,-1.3566322198308454,0.27072148333759194,1.6633421793673,604.6857207687245,-1201.371441537449,-1185.0152620356616,0.06141458274401932,p319,441
Null,0,NA,NA,NA,5.3675,411.9992810058294,-821.9985620116588,-817.8021178838643,0.10455511414605068,p320,491
Perfect Pooling,0,NA,NA,NA,8.85527777777778,289.08936486674554,-576.1787297334911,-571.9822856056966,0.13429515611807283,p320,491
Partial Pooling,1,NA,NA,0.1784690803970684,5.242637033249787,417.7777687794495,-831.555537558899,-823.16264930331,0.10333183681465456,p320,491
Compression + Pooling,1,0.8511348271199536,NA,NA,6.305796286459339,372.44751125033906,-740.8950225006781,-732.5021342450891,0.11332591183932533,p320,491
Compression + Partial Pooling,2,0.9969466475361427,NA,0.1891378129301231,5.242318197411573,417.7926995438796,-829.5853990877592,-816.9960667043757,0.10332869465608818,p320,491
Linear Compression + Partial Pooling,3,1.0454494717451228,-0.10483426253774485,0.187330124856464,5.230593083816647,418.34240659532486,-828.6848131906497,-811.8990366794717,0.1032130760655338,p320,491
Null,0,NA,NA,NA,2.935,583.2684121704535,-1164.536824340907,-1160.3122659116318,0.07623569497367236,p321,505
Perfect Pooling,0,NA,NA,NA,3.521059027777778,537.2996884811557,-1072.5993769623115,-1068.3748185330362,0.08350086295608831,p321,505
Partial Pooling,1,NA,NA,0.35343065461073475,2.7635125437706094,598.4701549529425,-1192.940309905885,-1184.4911930473343,0.07397500974567353,p321,505
Compression + Pooling,1,0.9419165833254527,NA,NA,3.1971340650182607,561.6677061564935,-1119.335412312987,-1110.8862954544363,0.0795673208333083,p321,505
Compression + Partial Pooling,2,0.9879787033922407,NA,0.39905307152144565,2.7540206698451732,599.3389129423215,-1192.677825884643,-1180.004150596817,0.07384785898671088,p321,505
Linear Compression + Partial Pooling,3,1.1805417894374743,-0.41860430280005945,0.42114826316883963,2.566900826209262,617.1054792009027,-1226.2109584018053,-1209.3127246847039,0.07129496428982658,p321,505
